id,Attribute Count,Attribute Count-rarity,Punk Type,Punk Type-rarity,Skin Tone,Skin Tone-rarity,isPersonOfColor,Full Type,Full Type-rarity,Hair,Hair-rarity,Eyes,Eyes-rarity,Facial Hair,Facial Hair-rarity,Blemishes,Blemishes-rarity,Neck Accessory,Neck Accessory-rarity,Mouth Prop,Mouth Prop-rarity,Mouth,Mouth-rarity,Nose,Nose-rarity,Ears,Ears-rarity
6232,2,2.808988764,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Bandana,20.79002079,3D Glasses,34.96503497,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6233,4,7.042253521,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Police Cap,49.26108374,Eye Patch,21.69197397,Shadow Beard,19.01140684,,1.098418278,,1.038745196,Cigarette,10.40582726,,1.341381623,,1.021659174,,1.326084074
6234,3,2.221728505,Male,1.655903295,Albino,9.823182711,0,Male-Albino,16.72240803,Wild Hair,22.37136465,Classic Shades,19.92031873,Normal Beard,34.24657534,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6235,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Crazy Hair,24.15458937,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
6236,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Shaved Head,33.33333333,Regular Shades,18.97533207,Muttonchops,33.00330033,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6237,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Cowboy Hat,70.42253521,3D Glasses,34.96503497,Handlebars,38.02281369,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6238,2,2.808988764,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Cap,28.49002849,,2.545824847,Mustache,34.72222222,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6239,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Wild Blonde,69.44444444,,2.545824847,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6240,4,7.042253521,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Frumpy Hair,22.62443439,3D Glasses,34.96503497,,1.539171926,,1.098418278,Gold Chain,59.17159763,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6241,3,2.221728505,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Hoodie,38.61003861,Clown Eyes Blue,26.04166667,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6242,2,2.808988764,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Blonde Bob,68.02721088,,2.545824847,,1.539171926,Spots,80.64516129,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6243,4,7.042253521,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Half Shaved,68.02721088,Classic Shades,19.92031873,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
6244,1,30.03003003,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,,40.6504065,,2.545824847,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6245,4,7.042253521,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Mohawk,22.67573696,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,Black Lipstick,16.20745543,,1.021659174,Earring,4.066693778
6246,4,7.042253521,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Mohawk Thin,22.67573696,Regular Shades,18.97533207,Shadow Beard,19.01140684,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6247,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Cap Forward,39.37007874,Small Shades,26.45502646,Normal Beard,34.24657534,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
